index.html present in container
control-plane-1  | {"level":30,"time":1786547796838,"pid":1,"hostname":"621991c3bd08","reqId":"req-3","res":{"statusCode":200},"responseTime":5.7887589999995726,"msg":"request completed"}
control-plane-1  | {"level":30,"time":1786547800017,"pid":1,"hostname":"621991c3bd08","reqId":"req-4","req":{"method":"GET","url":"/health","host":"localhost:3000","remoteAddress":"127.0.0.1","remotePort":56800},"msg":"incoming request"}
control-plane-1  | {"level":30,"time":1786547800019,"pid":1,"hostname":"621991c3bd08","reqId":"req-4","res":{"statusCode":200},"responseTime":0.5576580000006288,"msg":"request completed"}
control-plane-1  | {"level":30,"time":1786547801366,"pid":1,"hostname":"621991c3bd08","reqId":"req-5","req":{"method":"GET","url":"/","host":"localhost:3999","remoteAddress":"192.168.80.1","remotePort":39912},"msg":"incoming request"}
control-plane-1  | {"level":30,"time":1786547801371,"pid":1,"hostname":"621991c3bd08","reqId":"req-5","res":{"statusCode":200},"responseTime":4.8174040000003515,"msg":"request completed"}
control-plane-1  | {"level":30,"time":1786547801437,"pid":1,"hostname":"621991c3bd08","reqId":"req-6","req":{"method":"GET","url":"/assets/index-CtvQA8J9.js","host":"localhost:3999","remoteAddress":"192.168.80.1","remotePort":39912},"msg":"incoming request"}
control-plane-1  | {"level":30,"time":1786547801445,"pid":1,"hostname":"621991c3bd08","reqId":"req-6","res":{"statusCode":200},"responseTime":7.478663000000779,"msg":"request completed"}
control-plane-1  | {"level":30,"time":1786547801449,"pid":1,"hostname":"621991c3bd08","reqId":"req-7","req":{"method":"GET","url":"/assets/index-BFvCXiDf.css","host":"localhost:3999","remoteAddress":"192.168.80.1","remotePort":39912},"msg":"incoming request"}
control-plane-1  | {"level":30,"time":1786547801452,"pid":1,"hostname":"621991c3bd08","reqId":"req-7","res":{"statusCode":200},"responseTime":3.043913999999859,"msg":"request completed"}
control-plane-1  | {"level":30,"time":1786547801746,"pid":1,"hostname":"621991c3bd08","reqId":"req-8","req":{"method":"GET","url":"/favicon.ico","host":"localhost:3999","remoteAddress":"192.168.80.1","remotePort":39912},"msg":"incoming request"}
control-plane-1  | {"level":30,"time":1786547801750,"pid":1,"hostname":"621991c3bd08","reqId":"req-8","msg":"Route GET:/favicon.ico not found"}
control-plane-1  | {"level":30,"time":1786547801764,"pid":1,"hostname":"621991c3bd08","reqId":"req-8","res":{"statusCode":404},"responseTime":16.276372999999694,"msg":"request completed"}
control-plane-1  | {"level":30,"time":1786547810297,"pid":1,"hostname":"621991c3bd08","reqId":"req-9","req":{"method":"GET","url":"/health","host":"localhost:3000","remoteAddress":"127.0.0.1","remotePort":60340},"msg":"incoming request"}
control-plane-1  | {"level":30,"time":1786547810298,"pid":1,"hostname":"621991c3bd08","reqId":"req-9","res":{"statusCode":200},"responseTime":0.7792030000000523,"msg":"request completed"}
control-plane-1  | {"level":30,"time":1786547811379,"pid":1,"hostname":"621991c3bd08","reqId":"req-a","req":{"method":"GET","url":"/sessions/new","host":"localhost:3999","remoteAddress":"192.168.80.1","remotePort":39912},"msg":"incoming request"}
control-plane-1  | {"level":30,"time":1786547811385,"pid":1,"hostname":"621991c3bd08","reqId":"req-a","res":{"statusCode":200},"responseTime":5.399140000001353,"msg":"request completed"}
control-plane-1  | {"level":30,"time":1786547811443,"pid":1,"hostname":"621991c3bd08","reqId":"req-b","req":{"method":"GET","url":"/assets/index-BFvCXiDf.css","host":"localhost:3999","remoteAddress":"192.168.80.1","remotePort":39912},"msg":"incoming request"}
control-plane-1  | {"level":30,"time":1786547811445,"pid":1,"hostname":"621991c3bd08","reqId":"req-c","req":{"method":"GET","url":"/assets/index-CtvQA8J9.js","host":"localhost:3999","remoteAddress":"192.168.80.1","remotePort":39920},"msg":"incoming request"}
control-plane-1  | {"level":30,"time":1786547811448,"pid":1,"hostname":"621991c3bd08","reqId":"req-b","res":{"statusCode":304},"responseTime":4.039676000000327,"msg":"request completed"}
control-plane-1  | {"level":30,"time":1786547811450,"pid":1,"hostname":"621991c3bd08","reqId":"req-c","res":{"statusCode":304},"responseTime":4.9778020000012475,"msg":"request completed"}
